kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
9533489,K03783.01,,FALSE POSITIVE,FALSE POSITIVE,0.521,0,1,0,0,197.1455327,0.0003018,-0.0003018,300.176978,0.000881,-0.000881,1.251,17.95,-0.227,2.1145,0.054,-0.054,5664.0,121.0,-121.0,72.16,22.12,-14.77,498.0,,,14.53,13.13,-6.96,56.8,1.0,q1_q17_dr25_tce,7214.0,200.0,-342.0,4.093,0.112,-0.192,1.935,0.593,-0.396,294.67377,46.122673,12.962
9534832,K05689.01,,CANDIDATE,CANDIDATE,,0,0,0,0,114.12716,0.00164,-0.00164,226.87991,0.00887,-0.00887,0.7092,0.2727,-0.4676,1.719,0.273,-0.273,974.0,180.0,-180.0,2.76,5.2,-0.23,295.0,,,1.79,15.02,-0.42,6.3,1.0,q1_q16_tce,4816.0,149.0,-116.0,4.508,0.069,-0.836,0.823,1.551,-0.067,295.18097,46.179401,15.983
9535080,K01509.01,,FALSE POSITIVE,FALSE POSITIVE,0.001,0,1,0,0,49.6456235,0.0002059,-0.0002059,153.0806,0.00333,-0.00333,1.236,6.179,-0.553,23.568,0.17,-0.17,857.5,5.9,-5.9,43.41,9.92,-10.9,648.0,,,41.57,28.24,-20.69,176.5,1.0,q1_q17_dr25_tce,6273.0,170.0,-170.0,4.129,0.204,-0.136,1.493,0.341,-0.375,295.26349,46.148022,12.385
9535876,K04225.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,1,1,0.960843605,3.699e-06,-3.699e-06,131.7739,0.00316,-0.00316,1.143,0.951,-0.126,3.22,0.195,-0.195,141.7,6.8,-6.8,19.15,5.4,-2.69,1904.0,,,3120.32,2604.65,-1123.24,25.5,1.0,q1_q17_dr25_tce,5708.0,160.0,-200.0,4.378,0.087,-0.188,1.129,0.318,-0.159,295.55756,46.172241,14.92
9535881,K04228.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,1,0,0.960842633,4.4e-07,-4.4e-07,131.777663,0.000367,-0.000367,1.341,0.363,-0.239,2.6441,0.0206,-0.0206,2022.9,13.4,-13.4,67.53,20.93,-13.96,2808.0,,,14655.53,13807.27,-6885.77,176.1,1.0,q1_q17_dr25_tce,7381.0,232.0,-310.0,4.186,0.124,-0.186,1.597,0.495,-0.33,295.5596,46.17804,13.402
9536048,K07186.01,,FALSE POSITIVE,FALSE POSITIVE,0.277,0,0,1,0,3.71186243,1.336e-05,-1.336e-05,132.6486,0.00267,-0.00267,0.469,0.54,-0.1,1.032,0.198,-0.198,53.9,10.9,-10.9,0.95,0.31,-0.16,1406.0,,,922.9,868.92,-371.39,7.0,1.0,q1_q17_dr25_tce,6302.0,170.0,-208.0,4.299,0.112,-0.208,1.258,0.404,-0.218,295.61349,46.190689,13.787
9536108,K03472.01,,CANDIDATE,CANDIDATE,0.972,0,0,0,0,10.43003118,7.821e-05,-7.821e-05,133.2962,0.00569,-0.00569,0.283,0.178,-0.283,2.029,0.196,-0.196,120.0,14.3,-14.3,1.14,0.36,-0.12,906.0,,,159.58,145.16,-47.42,10.6,1.0,q1_q17_dr25_tce,6277.0,169.0,-206.0,4.449,0.052,-0.208,1.031,0.32,-0.107,295.63855,46.132549,14.412
9536692,K01948.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,26.635216,0.0001595,-0.0001595,155.5577,0.00484,-0.00484,1.242,7.046,-0.078,5.949,0.229,-0.229,1492.8,56.9,-56.9,27.64,4.8,-3.57,536.0,,,19.45,10.67,-6.38,30.6,1.0,q1_q17_dr25_tce,5215.0,155.0,-155.0,4.455,0.108,-0.148,0.882,0.153,-0.114,295.849,46.18129,15.551
9536727,K05690.01,,CANDIDATE,CANDIDATE,,0,0,0,0,17.0497376,0.0002929,-0.0002929,146.73363,0.00828,-0.00828,0.9703,0.0,-0.6636,3.271,0.352,-0.352,478.6,74.1,-74.1,45.89,1.73,-19.09,1971.0,,,3566.8,582.29,-2612.34,6.4,1.0,q1_q16_tce,5039.0,98.0,-297.0,2.587,0.034,-0.03,14.954,0.565,-6.219,295.85934,46.117008,13.582
9536836,K08285.01,,FALSE POSITIVE,FALSE POSITIVE,0.121,1,0,0,0,320.347208,0.008503,-0.008503,406.2309,0.0148,-0.0148,0.548,0.415,-0.334,7.159,0.559,-0.559,262.8,38.3,-38.3,1.58,0.46,-0.15,274.0,,,1.33,1.14,-0.38,8.8,1.0,q1_q17_dr25_tce,6146.0,164.0,-201.0,4.497,0.05,-0.2,0.943,0.273,-0.091,295.90207,46.116138,13.996
